nzz;ta;blick;20min;baz;az;bund;luz;südost;weltwoche;woz;watson
143694099006529_1508081222567803;177194474660_10155193395309661;62562538918_10155258141988919;29396596956_10154286252221957;111236060676_10154484514690677;118231518201711_1500501563308026;178913512122277_1579329515413996;170815382956921_1857074364331006;149845148361826_1445912655421729;38916537049_10154108858522050;193485802047_10155112145377048;536723559736207_1438995542842333
143694099006529_1508120155897243;177194474660_10155193347759661;62562538918_10155258090183919;29396596956_10154286249761957;111236060676_10154484507475677;118231518201711_1500498916641624;178913512122277_1578776832135931;170815382956921_1857071174331325;149845148361826_1445297872149874;38916537049_10154106642162050;193485802047_10155097006117048;536723559736207_1438920569516497
143694099006529_1508074382568487;177194474660_10155193199944661;62562538918_10155258044038919;29396596956_10154286307766957;111236060676_10154484504540677;118231518201711_1500530909971758;178913512122277_1578726132141001;170815382956921_1857001624338280;149845148361826_1445512422128419;38916537049_10154072307227050;193485802047_10155097003257048;536723559736207_1436724733069414
143694099006529_1508071699235422;177194474660_10155193168079661;62562538918_10155256768173919;29396596956_10154286756436957;111236060676_10154484217705677;118231518201711_1500527736638742;178913512122277_1578477835499164;170815382956921_1856923871012722;149845148361826_1445388822140779;38916537049_10154072215372050;193485802047_10155091607812048;536723559736207_1438627799545774
143694099006529_1508065725902686;177194474660_10155193174339661;62562538918_10155256664898919;29396596956_10154286293601957;111236060676_10154484137065677;118231518201711_1500497959975053;178913512122277_1578381972175417;170815382956921_1856803061024803;149845148361826_1445422682137393;38916537049_10154072296657050;193485802047_10155091606887048;536723559736207_1438050162936871
143694099006529_1508027332573192;177194474660_10155193151839661;62562538918_10155256480773919;29396596956_10154286289146957;111236060676_10154484074840677;118231518201711_1500497129975136;178913512122277_1578297235517224;170815382956921_1856731944365248;149845148361826_1445363805476614;38916537049_10154072209762050;193485802047_10155091248057048;536723559736207_1438305852911302
143694099006529_1508019235907335;177194474660_10155193111214661;62562538918_10155256408058919;29396596956_10154286431221957;111236060676_10154484066875677;118231518201711_1500481286643387;178913512122277_1577570468923234;170815382956921_1856636487708127;149845148361826_1445378055475189;38916537049_10154071292832050;193485802047_10155091245967048;536723559736207_1438143802927507
143694099006529_1507992839243308;177194474660_10155191198179661;62562538918_10155256331743919;29396596956_10154286285451957;111236060676_10154483867345677;118231518201711_1500424526649063;178913512122277_1577532908926990;170815382956921_1856592734379169;149845148361826_1445357172143944;38916537049_10154068840507050;193485802047_10155091088652048;536723559736207_1438119536263267
143694099006529_1507872079255384;177194474660_10155191269049661;62562538918_10155256213168919;29396596956_10154286181476957;111236060676_10154483818005677;118231518201711_1499716106719905;178913512122277_1577416118938669;170815382956921_1856510461054063;149845148361826_1445403928805935;38916537049_10154058382492050;193485802047_10155091086592048;536723559736207_1437998009608753
143694099006529_1507786935930565;177194474660_10155191277994661;62562538918_10155256100003919;29396596956_10154285704746957;111236060676_10154483768015677;118231518201711_1499824480042401;178913512122277_1577240785622869;170815382956921_1856443837727392;149845148361826_1445318222147839;38916537049_10154052004777050;193485802047_10155081105917048;536723559736207_1437800036295217
